Company,Job title,Location,Graduation year,Degree,Branch,Experience requirement,Skills,Job description
VMware India,Digital Marketing Specialist,Surat,2023,BBA,General Management,4-6 Years,"SEM, Social Media Marketing, Market Research, SEO","VMware India has an opening for a Digital Marketing Specialist based in Surat. The ideal candidate is a BBA graduate in General Management with proficiency in SEM, Social Media Marketing, Market Research, SEO. Required experience: 4-6 Years."
Havells India,.NET Developer,Visakhapatnam,2016,BCA,Information Technology,0-1 Years,"Python, SQL, JavaScript, TypeScript, Java","Havells India has an opening for a .NET Developer based in Visakhapatnam. The ideal candidate is a BCA graduate in Information Technology with proficiency in Python, SQL, JavaScript, TypeScript, Java. Required experience: 0-1 Years."
MakeMyTrip,Business Intelligence Analyst,Noida Sector 62,2018,M.Sc,Information Technology,7-10 Years,"Tableau, Pandas, Machine Learning, Data Visualization, PyTorch","We are looking for a passionate Business Intelligence Analyst to join MakeMyTrip in Noida Sector 62. Candidates should hold a M.Sc (Information Technology) and be skilled in Tableau, Pandas, Machine Learning, Data Visualization, PyTorch. Experience level: 7-10 Years."
Larsen & Toubro Infotech,Data Analyst,Bhopal,2023,MCA,Mathematics,10+ Years,"Python, Power BI, Data Visualization, Statistics, R","Larsen & Toubro Infotech is hiring a Data Analyst for its Bhopal office. The role calls for a MCA in Mathematics and hands-on knowledge of Python, Power BI, Data Visualization, Statistics, R. Experience required: 10+ Years."
Kotak Mahindra Bank,Brand Manager,Indore,2019,B.Com,Marketing,4-6 Years,"Google Ads, Salesforce, Lead Generation, Negotiation","Join Kotak Mahindra Bank as a Brand Manager in Indore! We need someone with a B.Com in Marketing, strong command of Google Ads, Salesforce, Lead Generation, Negotiation, and 4-6 Years of relevant experience."
JSW Steel,Civil Engineer,Pune,2026,M.Tech,Construction Technology,4-6 Years,"STAAD Pro, Primavera, Site Supervision","Join JSW Steel as a Civil Engineer in Pune! We need someone with a M.Tech in Construction Technology, strong command of STAAD Pro, Primavera, Site Supervision, and 4-6 Years of relevant experience."
Mindtree,Credit Analyst,Coimbatore,2022,M.Com,Financial Management,Fresher,"Taxation, Accounting Standards, Financial Reporting, Financial Modeling","Exciting opportunity for a Credit Analyst at Mindtree (Coimbatore). Applicants must be M.Com graduates in Financial Management, comfortable with Taxation, Accounting Standards, Financial Reporting, Financial Modeling, and have Fresher of industry experience."
Meesho,System Engineer,Lucknow,2019,B.E.,Computer Science,Fresher,"Network Security, CCNA, Cybersecurity, Troubleshooting, Linux","Meesho is expanding its Lucknow team and seeking a System Engineer. A B.E. in Computer Science is required along with working knowledge of Network Security, CCNA, Cybersecurity, Troubleshooting, Linux. Experience: Fresher."
CRED,Financial Analyst,Mumbai,2025,B.Com,Finance,0-1 Years,"Financial Modeling, GST, Tally, Taxation, Accounting Standards","CRED is expanding its Mumbai team and seeking a Financial Analyst. A B.Com in Finance is required along with working knowledge of Financial Modeling, GST, Tally, Taxation, Accounting Standards. Experience: 0-1 Years."
CarDekho,QA Engineer,Remote,2025,B.Tech,Information Technology,4-6 Years,"Automation Testing, Manual Testing, API Testing, JUnit","CarDekho has an opening for a QA Engineer based in Remote. The ideal candidate is a B.Tech graduate in Information Technology with proficiency in Automation Testing, Manual Testing, API Testing, JUnit. Required experience: 4-6 Years."
Concentrix,Digital Marketing Specialist,Mumbai,2016,B.Com,Marketing Management,3-5 Years,"Lead Generation, SEM, Market Research, Content Marketing, Negotiation","Concentrix is expanding its Mumbai team and seeking a Digital Marketing Specialist. A B.Com in Marketing Management is required along with working knowledge of Lead Generation, SEM, Market Research, Content Marketing, Negotiation. Experience: 3-5 Years."
State Bank of India,Electronics Engineer,Surat,2020,M.Tech,Electrical Engineering,0-2 Years,"Microcontrollers, VLSI Design, Power Systems, Circuit Design","State Bank of India is expanding its Surat team and seeking a Electronics Engineer. A M.Tech in Electrical Engineering is required along with working knowledge of Microcontrollers, VLSI Design, Power Systems, Circuit Design. Experience: 0-2 Years."
Cure.fit,iOS Developer,Gurgaon,2018,BCA,Electronics and Communication,1-3 Years,"React, Angular, Git","Cure.fit has an opening for a iOS Developer based in Gurgaon. The ideal candidate is a BCA graduate in Electronics and Communication with proficiency in React, Angular, Git. Required experience: 1-3 Years."
Paytm Money,Test Engineer,Nagpur,2024,MCA,Computer Science,3-5 Years,"Selenium, JUnit, Postman, JIRA","Paytm Money has an opening for a Test Engineer based in Nagpur. The ideal candidate is a MCA graduate in Computer Science with proficiency in Selenium, JUnit, Postman, JIRA. Required experience: 3-5 Years."
Lenskart,Software Engineer,Nagpur,2018,M.Tech,Information Technology,7-10 Years,"Microservices, HTML/CSS, Java, Python","Lenskart is hiring a Software Engineer for its Nagpur office. The role calls for a M.Tech in Information Technology and hands-on knowledge of Microservices, HTML/CSS, Java, Python. Experience required: 7-10 Years."
Voltas,Operations Executive,Whitefield Bangalore,2018,Any Graduate,Management,2-4 Years,"Communication, CRM Tools, Time Management","Voltas is hiring a Operations Executive for its Whitefield Bangalore office. The role calls for a Any Graduate in Management and hands-on knowledge of Communication, CRM Tools, Time Management. Experience required: 2-4 Years."
Sharechat,Process Associate,Gurgaon,2021,B.Com,Commerce,8-12 Years,"Email Etiquette, Customer Service, Problem Solving, MS Office, Communication","We are looking for a passionate Process Associate to join Sharechat in Gurgaon. Candidates should hold a B.Com (Commerce) and be skilled in Email Etiquette, Customer Service, Problem Solving, MS Office, Communication. Experience level: 8-12 Years."
Zoho Corporation,Process Engineer,Mysore,2022,B.E.,Chemical Engineering,8-12 Years,"Process Optimization, Quality Control, Aspen Plus, Plant Operations, Process Design","Exciting opportunity for a Process Engineer at Zoho Corporation (Mysore). Applicants must be B.E. graduates in Chemical Engineering, comfortable with Process Optimization, Quality Control, Aspen Plus, Plant Operations, Process Design, and have 8-12 Years of industry experience."
Dream11,NLP Engineer,Indore,2023,B.Tech,Information Technology,2-3 Years,"Data Visualization, Statistics, Machine Learning, Big Data","Dream11 is hiring a NLP Engineer for its Indore office. The role calls for a B.Tech in Information Technology and hands-on knowledge of Data Visualization, Statistics, Machine Learning, Big Data. Experience required: 2-3 Years."
Deloitte India,Cloud Engineer,Mumbai,2020,B.E.,Information Technology,2-3 Years,"CI/CD, Terraform, Monitoring Tools, Jenkins, AWS","Deloitte India is hiring a Cloud Engineer for its Mumbai office. The role calls for a B.E. in Information Technology and hands-on knowledge of CI/CD, Terraform, Monitoring Tools, Jenkins, AWS. Experience required: 2-3 Years."
L&T Infotech,Process Associate,Gurgaon,2025,B.Com,Management,2-4 Years,"Time Management, CRM Tools, Customer Service, Communication","Join L&T Infotech as a Process Associate in Gurgaon! We need someone with a B.Com in Management, strong command of Time Management, CRM Tools, Customer Service, Communication, and 2-4 Years of relevant experience."
Mphasis,Client Servicing Executive,Guwahati,2016,B.Com,Management,4-6 Years,"Time Management, Email Etiquette, MS Office, CRM Tools, Problem Solving","Mphasis is hiring a Client Servicing Executive for its Guwahati office. The role calls for a B.Com in Management and hands-on knowledge of Time Management, Email Etiquette, MS Office, CRM Tools, Problem Solving. Experience required: 4-6 Years."
Future Group,Site Reliability Engineer,Bhubaneswar,2024,M.Tech,Computer Science,1-3 Years,"Terraform, Jenkins, Monitoring Tools, Kubernetes, Linux","We are looking for a passionate Site Reliability Engineer to join Future Group in Bhubaneswar. Candidates should hold a M.Tech (Computer Science) and be skilled in Terraform, Jenkins, Monitoring Tools, Kubernetes, Linux. Experience level: 1-3 Years."
Sutherland Global,Project Engineer,Kochi,2025,M.Tech,Construction Technology,5-7 Years,"MS Project, AutoCAD, Revit, Site Supervision","We are looking for a passionate Project Engineer to join Sutherland Global in Kochi. Candidates should hold a M.Tech (Construction Technology) and be skilled in MS Project, AutoCAD, Revit, Site Supervision. Experience level: 5-7 Years."
Godrej Consumer Products,Area Sales Manager,Patna,2026,B.Com,Marketing Management,1-2 Years,"Negotiation, Google Ads, SEM, Market Research, Content Marketing","Exciting opportunity for a Area Sales Manager at Godrej Consumer Products (Patna). Applicants must be B.Com graduates in Marketing Management, comfortable with Negotiation, Google Ads, SEM, Market Research, Content Marketing, and have 1-2 Years of industry experience."
24/7 Customer,Cloud Architect,Vijayawada,2026,M.Tech,Computer Science,1-3 Years,"Docker, GCP, AWS","24/7 Customer is hiring a Cloud Architect for its Vijayawada office. The role calls for a M.Tech in Computer Science and hands-on knowledge of Docker, GCP, AWS. Experience required: 1-3 Years."
Ericsson India,Project Engineer,Hinjewadi Pune,2019,B.Tech,Structural Engineering,7-10 Years,"MS Project, Estimation & Costing, Primavera, STAAD Pro, Project Management","Exciting opportunity for a Project Engineer at Ericsson India (Hinjewadi Pune). Applicants must be B.Tech graduates in Structural Engineering, comfortable with MS Project, Estimation & Costing, Primavera, STAAD Pro, Project Management, and have 7-10 Years of industry experience."
Dream11,Network Engineer,Kochi,2024,B.Tech,Electronics and Communication,3-5 Years,"Network Security, VPN, Networking","Join Dream11 as a Network Engineer in Kochi! We need someone with a B.Tech in Electronics and Communication, strong command of Network Security, VPN, Networking, and 3-5 Years of relevant experience."
iGate,CAD Engineer,Patna,2025,M.Tech,Production Engineering,10+ Years,"Product Design, CNC Programming, Lean Manufacturing, SolidWorks, Six Sigma","Join iGate as a CAD Engineer in Patna! We need someone with a M.Tech in Production Engineering, strong command of Product Design, CNC Programming, Lean Manufacturing, SolidWorks, Six Sigma, and 10+ Years of relevant experience."
Mastech Digital,Tax Consultant,Gandhinagar,2023,M.Com,Commerce,5-8 Years,"Taxation, Accounting Standards, Tally","Exciting opportunity for a Tax Consultant at Mastech Digital (Gandhinagar). Applicants must be M.Com graduates in Commerce, comfortable with Taxation, Accounting Standards, Tally, and have 5-8 Years of industry experience."
Teleperformance,Electronics Engineer,Noida Sector 62,2017,M.Tech,Instrumentation Engineering,0-2 Years,"Embedded C, PCB Design, Circuit Design","We are looking for a passionate Electronics Engineer to join Teleperformance in Noida Sector 62. Candidates should hold a M.Tech (Instrumentation Engineering) and be skilled in Embedded C, PCB Design, Circuit Design. Experience level: 0-2 Years."
Juniper Networks India,Network Administrator,Mysore,2024,B.Tech,Electronics and Communication,3-5 Years,"CCNA, VPN, Linux, Network Security","Juniper Networks India is expanding its Mysore team and seeking a Network Administrator. A B.Tech in Electronics and Communication is required along with working knowledge of CCNA, VPN, Linux, Network Security. Experience: 3-5 Years."
Infosys,Network Engineer,Mangalore,2020,B.E.,Electronics and Communication,8-12 Years,"Linux, Network Security, VPN, Windows Server","We are looking for a passionate Network Engineer to join Infosys in Mangalore. Candidates should hold a B.E. (Electronics and Communication) and be skilled in Linux, Network Security, VPN, Windows Server. Experience level: 8-12 Years."
SAP Labs India,VLSI Design Engineer,Mysore,2026,Diploma,Electrical Engineering,5-8 Years,"MATLAB, Power Systems, SCADA, VLSI Design","SAP Labs India is expanding its Mysore team and seeking a VLSI Design Engineer. A Diploma in Electrical Engineering is required along with working knowledge of MATLAB, Power Systems, SCADA, VLSI Design. Experience: 5-8 Years."
Maruti Suzuki,Mobile App Developer,Guwahati,2018,BCA,Computer Science,10+ Years,"Node.js, Python, Git, Spring Boot","Maruti Suzuki has an opening for a Mobile App Developer based in Guwahati. The ideal candidate is a BCA graduate in Computer Science with proficiency in Node.js, Python, Git, Spring Boot. Required experience: 10+ Years."
Syntel,Project Engineer,Vadodara,2020,Diploma,Structural Engineering,8-12 Years,"Surveying, STAAD Pro, Primavera, AutoCAD","Exciting opportunity for a Project Engineer at Syntel (Vadodara). Applicants must be Diploma graduates in Structural Engineering, comfortable with Surveying, STAAD Pro, Primavera, AutoCAD, and have 8-12 Years of industry experience."
Rivigo,Business Analyst,Mumbai,2026,B.Tech,General Management,Fresher,"Agile, Market Analysis, Wireframing","Rivigo is hiring a Business Analyst for its Mumbai office. The role calls for a B.Tech in General Management and hands-on knowledge of Agile, Market Analysis, Wireframing. Experience required: Fresher."
Power Grid Corporation,Test Engineer,Noida,2025,BCA,Computer Science,1-2 Years,"Automation Testing, API Testing, TestNG, Load Testing","Power Grid Corporation is expanding its Noida team and seeking a Test Engineer. A BCA in Computer Science is required along with working knowledge of Automation Testing, API Testing, TestNG, Load Testing. Experience: 1-2 Years."
WNS Global Services,Cybersecurity Analyst,Gurgaon,2025,B.Tech,Computer Science,Fresher,"Troubleshooting, Linux, Network Security, Cybersecurity","We are looking for a passionate Cybersecurity Analyst to join WNS Global Services in Gurgaon. Candidates should hold a B.Tech (Computer Science) and be skilled in Troubleshooting, Linux, Network Security, Cybersecurity. Experience level: Fresher."
Paytm Money,Business Intelligence Analyst,Multiple Locations,2017,B.Tech,Mathematics,8-12 Years,"Statistics, Python, TensorFlow, NumPy, PyTorch","Exciting opportunity for a Business Intelligence Analyst at Paytm Money (Multiple Locations). Applicants must be B.Tech graduates in Mathematics, comfortable with Statistics, Python, TensorFlow, NumPy, PyTorch, and have 8-12 Years of industry experience."
Motorola Solutions India,HR Executive,Tirupati,2017,BBA,Human Resources,2-4 Years,"HR Policies, Payroll, HRMS, Onboarding","Exciting opportunity for a HR Executive at Motorola Solutions India (Tirupati). Applicants must be BBA graduates in Human Resources, comfortable with HR Policies, Payroll, HRMS, Onboarding, and have 2-4 Years of industry experience."
Vedanta Limited,Project Manager,Guwahati,2025,B.Tech,Business Administration,1-3 Years,"Agile, SQL, JIRA, Market Analysis","We are looking for a passionate Project Manager to join Vedanta Limited in Guwahati. Candidates should hold a B.Tech (Business Administration) and be skilled in Agile, SQL, JIRA, Market Analysis. Experience level: 1-3 Years."
Bosch India,Production Chemist,Hyderabad,2023,M.Tech,Petrochemical Engineering,10+ Years,"Aspen Plus, Six Sigma, Process Optimization, Plant Operations","Bosch India has an opening for a Production Chemist based in Hyderabad. The ideal candidate is a M.Tech graduate in Petrochemical Engineering with proficiency in Aspen Plus, Six Sigma, Process Optimization, Plant Operations. Required experience: 10+ Years."
Wipro,Talent Acquisition Specialist,Gandhinagar,2019,BBA,HR Management,0-1 Years,"Communication, HR Policies, Employee Engagement","We are looking for a passionate Talent Acquisition Specialist to join Wipro in Gandhinagar. Candidates should hold a BBA (HR Management) and be skilled in Communication, HR Policies, Employee Engagement. Experience level: 0-1 Years."
Intellect Design Arena,IT Support Engineer,Hyderabad,2017,B.E.,Electronics and Communication,1-3 Years,"Linux, VPN, TCP/IP","Exciting opportunity for a IT Support Engineer at Intellect Design Arena (Hyderabad). Applicants must be B.E. graduates in Electronics and Communication, comfortable with Linux, VPN, TCP/IP, and have 1-3 Years of industry experience."
Larsen & Toubro Infotech,Automation Test Engineer,Whitefield Bangalore,2021,B.E.,Information Technology,2-3 Years,"JIRA, Automation Testing, Test Case Design, TestNG, JUnit","Larsen & Toubro Infotech is hiring a Automation Test Engineer for its Whitefield Bangalore office. The role calls for a B.E. in Information Technology and hands-on knowledge of JIRA, Automation Testing, Test Case Design, TestNG, JUnit. Experience required: 2-3 Years."
Firstsource Solutions,Network Administrator,Noida Sector 62,2018,Diploma,Computer Science,1-2 Years,"Windows Server, TCP/IP, Network Security","Firstsource Solutions is hiring a Network Administrator for its Noida Sector 62 office. The role calls for a Diploma in Computer Science and hands-on knowledge of Windows Server, TCP/IP, Network Security. Experience required: 1-2 Years."
HP India,UI/UX Designer,Kochi,2020,BCA,Mass Communication,Fresher,"Prototyping, Adobe XD, Illustrator, Figma, Sketch","HP India is expanding its Kochi team and seeking a UI/UX Designer. A BCA in Mass Communication is required along with working knowledge of Prototyping, Adobe XD, Illustrator, Figma, Sketch. Experience: Fresher."
Reliance Industries,Instrumentation Engineer,Bangalore,2025,B.E.,Electrical and Electronics,1-3 Years,"Power Systems, Microcontrollers, MATLAB, SCADA","Reliance Industries is hiring a Instrumentation Engineer for its Bangalore office. The role calls for a B.E. in Electrical and Electronics and hands-on knowledge of Power Systems, Microcontrollers, MATLAB, SCADA. Experience required: 1-3 Years."
VMware India,VLSI Design Engineer,Tirupati,2017,B.Tech,Electrical Engineering,5-7 Years,"PLC, MATLAB, SCADA, VLSI Design, Power Systems","VMware India is hiring a VLSI Design Engineer for its Tirupati office. The role calls for a B.Tech in Electrical Engineering and hands-on knowledge of PLC, MATLAB, SCADA, VLSI Design, Power Systems. Experience required: 5-7 Years."
Blue Star Limited,Civil Engineer,Bangalore / Hyderabad,2019,M.Tech,Construction Technology,8-12 Years,"MS Project, Estimation & Costing, Primavera, Revit, Surveying","Join Blue Star Limited as a Civil Engineer in Bangalore / Hyderabad! We need someone with a M.Tech in Construction Technology, strong command of MS Project, Estimation & Costing, Primavera, Revit, Surveying, and 8-12 Years of relevant experience."
Virtusa,Control Systems Engineer,Jaipur,2026,B.Tech,Electrical Engineering,1-2 Years,"SCADA, MATLAB, Microcontrollers, PCB Design","Virtusa is expanding its Jaipur team and seeking a Control Systems Engineer. A B.Tech in Electrical Engineering is required along with working knowledge of SCADA, MATLAB, Microcontrollers, PCB Design. Experience: 1-2 Years."
Pidilite Industries,Machine Learning Engineer,Multiple Locations,2023,B.Tech,Information Technology,1-3 Years,"Machine Learning, Deep Learning, Excel","Pidilite Industries has an opening for a Machine Learning Engineer based in Multiple Locations. The ideal candidate is a B.Tech graduate in Information Technology with proficiency in Machine Learning, Deep Learning, Excel. Required experience: 1-3 Years."
HDFC Bank,IT Support Engineer,Nagpur,2026,B.Tech,Information Technology,5-7 Years,"VPN, Linux, Networking, TCP/IP, Windows Server","Exciting opportunity for a IT Support Engineer at HDFC Bank (Nagpur). Applicants must be B.Tech graduates in Information Technology, comfortable with VPN, Linux, Networking, TCP/IP, Windows Server, and have 5-7 Years of industry experience."
Mindtree,Production Engineer,Coimbatore,2020,B.E.,Mechanical Engineering,5-7 Years,"PLM, GD&T, Lean Manufacturing, AutoCAD, Ansys","Exciting opportunity for a Production Engineer at Mindtree (Coimbatore). Applicants must be B.E. graduates in Mechanical Engineering, comfortable with PLM, GD&T, Lean Manufacturing, AutoCAD, Ansys, and have 5-7 Years of industry experience."
Bharat Electronics,Instrumentation Engineer,Noida Sector 62,2023,Diploma,Instrumentation Engineering,3-5 Years,"PLC, PCB Design, Circuit Design","Bharat Electronics has an opening for a Instrumentation Engineer based in Noida Sector 62. The ideal candidate is a Diploma graduate in Instrumentation Engineering with proficiency in PLC, PCB Design, Circuit Design. Required experience: 3-5 Years."
Practo,Automation Test Engineer,Hinjewadi Pune,2025,B.Tech,Computer Science,Fresher,"Automation Testing, Selenium, TestNG, Manual Testing, Load Testing","Exciting opportunity for a Automation Test Engineer at Practo (Hinjewadi Pune). Applicants must be B.Tech graduates in Computer Science, comfortable with Automation Testing, Selenium, TestNG, Manual Testing, Load Testing, and have Fresher of industry experience."
Urban Company,Tax Consultant,Tirupati,2017,M.Com,Financial Management,3-5 Years,"GST, Auditing, Budgeting, Accounting Standards","Urban Company is hiring a Tax Consultant for its Tirupati office. The role calls for a M.Com in Financial Management and hands-on knowledge of GST, Auditing, Budgeting, Accounting Standards. Experience required: 3-5 Years."
Naukri.com,UI/UX Designer,Tirupati,2020,BCA,Fine Arts,5-8 Years,"Prototyping, Figma, Content Writing, Illustrator","Naukri.com has an opening for a UI/UX Designer based in Tirupati. The ideal candidate is a BCA graduate in Fine Arts with proficiency in Prototyping, Figma, Content Writing, Illustrator. Required experience: 5-8 Years."
Dr. Reddy's Laboratories,Embedded Systems Engineer,Bangalore,2026,B.Tech,Electrical and Electronics,10+ Years,"Power Systems, PCB Design, PLC, SCADA, VLSI Design","Dr. Reddy's Laboratories has an opening for a Embedded Systems Engineer based in Bangalore. The ideal candidate is a B.Tech graduate in Electrical and Electronics with proficiency in Power Systems, PCB Design, PLC, SCADA, VLSI Design. Required experience: 10+ Years."
Delhivery,Manual Tester,Chandigarh,2024,B.E.,Computer Science,0-2 Years,"JIRA, Load Testing, JUnit, Selenium","Exciting opportunity for a Manual Tester at Delhivery (Chandigarh). Applicants must be B.E. graduates in Computer Science, comfortable with JIRA, Load Testing, JUnit, Selenium, and have 0-2 Years of industry experience."
Practo Technologies,Test Engineer,Bangalore,2024,BCA,Information Technology,2-4 Years,"Manual Testing, JUnit, JIRA","Practo Technologies is hiring a Test Engineer for its Bangalore office. The role calls for a BCA in Information Technology and hands-on knowledge of Manual Testing, JUnit, JIRA. Experience required: 2-4 Years."
Bharat Heavy Electricals,Cloud Engineer,Chandigarh,2022,B.E.,Information Technology,10+ Years,"Linux, Docker, Monitoring Tools, GCP","Join Bharat Heavy Electricals as a Cloud Engineer in Chandigarh! We need someone with a B.E. in Information Technology, strong command of Linux, Docker, Monitoring Tools, GCP, and 10+ Years of relevant experience."
Bajaj Finserv,Construction Manager,Bhopal,2021,B.E.,Civil Engineering,8-12 Years,"Surveying, AutoCAD, Revit, Project Management, MS Project","Bajaj Finserv is expanding its Bhopal team and seeking a Construction Manager. A B.E. in Civil Engineering is required along with working knowledge of Surveying, AutoCAD, Revit, Project Management, MS Project. Experience: 8-12 Years."
Asian Paints,QA Lead,Noida Sector 62,2023,B.E.,Computer Science,2-3 Years,"Test Case Design, Load Testing, Postman, Manual Testing","Asian Paints has an opening for a QA Lead based in Noida Sector 62. The ideal candidate is a B.E. graduate in Computer Science with proficiency in Test Case Design, Load Testing, Postman, Manual Testing. Required experience: 2-3 Years."
HDFC Bank,UI/UX Designer,Bhopal,2016,B.Des,Fine Arts,2-3 Years,"Illustrator, Wireframing, Content Writing, Sketch, Adobe Photoshop","Join HDFC Bank as a UI/UX Designer in Bhopal! We need someone with a B.Des in Fine Arts, strong command of Illustrator, Wireframing, Content Writing, Sketch, Adobe Photoshop, and 2-3 Years of relevant experience."
JSW Steel,Software Developer,Patna,2017,BCA,Electronics and Communication,4-6 Years,"Java, Angular, HTML/CSS, MongoDB","Exciting opportunity for a Software Developer at JSW Steel (Patna). Applicants must be BCA graduates in Electronics and Communication, comfortable with Java, Angular, HTML/CSS, MongoDB, and have 4-6 Years of industry experience."
Bosch India,Mechanical Engineer,Bangalore / Hyderabad,2022,M.Tech,Production Engineering,5-8 Years,"Six Sigma, Product Design, CNC Programming","Bosch India has an opening for a Mechanical Engineer based in Bangalore / Hyderabad. The ideal candidate is a M.Tech graduate in Production Engineering with proficiency in Six Sigma, Product Design, CNC Programming. Required experience: 5-8 Years."
Tata Power,Infrastructure Engineer,Mumbai,2019,B.E.,Computer Science,5-8 Years,"Kubernetes, Docker, Azure, Terraform, AWS","Exciting opportunity for a Infrastructure Engineer at Tata Power (Mumbai). Applicants must be B.E. graduates in Computer Science, comfortable with Kubernetes, Docker, Azure, Terraform, AWS, and have 5-8 Years of industry experience."
Naukri.com,Network Engineer,Bhubaneswar,2016,B.E.,Computer Science,Fresher,"CCNA, TCP/IP, Cybersecurity, Firewalls","Join Naukri.com as a Network Engineer in Bhubaneswar! We need someone with a B.E. in Computer Science, strong command of CCNA, TCP/IP, Cybersecurity, Firewalls, and Fresher of relevant experience."
Byju's,Design Engineer,Kochi,2017,M.Tech,Automobile Engineering,5-7 Years,"PLM, Ansys, Lean Manufacturing, GD&T","We are looking for a passionate Design Engineer to join Byju's in Kochi. Candidates should hold a M.Tech (Automobile Engineering) and be skilled in PLM, Ansys, Lean Manufacturing, GD&T. Experience level: 5-7 Years."
